,predict,target
1433,89.0,89.0
2087,95.0,95.0
1122,94.0,94.0
1352,79.0,79.0
2465,90.0,90.0
5780,81.0,81.0
4857,81.0,82.0
3440,92.0,92.0
3487,93.0,93.0
295,71.0,71.0
2385,88.0,88.0
1595,73.0,73.0
1705,90.0,90.0
3311,86.0,86.0
4465,95.0,95.0
4418,96.0,97.0
7362,95.0,95.0
7065,80.0,80.0
6595,97.0,97.0
2877,86.0,86.0
7484,68.0,68.0
6032,92.0,92.0
2265,95.0,95.0
4106,98.0,98.0
980,93.0,93.0
2615,96.0,96.0
3414,89.0,89.0
499,60.0,59.0
7323,83.0,83.0
6584,76.0,76.0
3515,90.0,90.0
7328,91.0,91.0
6329,86.0,86.0
2407,86.0,86.0
5682,81.0,81.0
6757,75.0,74.0
528,91.0,91.0
5866,94.0,94.0
6887,95.0,95.0
4024,88.0,88.0
326,95.0,95.0
3617,80.0,80.0
6526,96.0,97.0
5468,80.0,80.0
5426,90.0,90.0
1255,89.0,89.0
5777,80.0,80.0
2401,86.0,86.0
5010,91.0,91.0
6643,79.0,79.0
7266,72.0,72.0
1977,98.0,98.0
1363,80.0,80.0
6192,97.0,97.0
5525,93.0,93.0
5056,87.0,87.0
3305,88.0,88.0
4164,85.0,84.0
5559,95.0,95.0
3304,96.0,96.0
1060,87.0,87.0
3614,77.0,77.0
521,76.0,76.0
7808,89.0,89.0
1270,92.0,92.0
4328,97.0,97.0
3981,97.0,97.0
5776,82.0,82.0
2033,85.0,85.0
5844,95.0,95.0
2653,96.0,96.0
6125,85.0,85.0
5872,95.0,95.0
1529,70.0,69.0
98,78.0,78.0
4140,87.0,87.0
6836,81.0,81.0
3498,92.0,92.0
154,72.0,72.0
1870,88.0,88.0
722,88.0,88.0
226,82.0,82.0
2990,96.0,96.0
2943,88.0,88.0
3840,89.0,89.0
4827,81.0,81.0
3651,80.0,80.0
5516,95.0,95.0
2784,88.0,88.0
3411,76.0,77.0
140,80.0,80.0
2149,98.0,98.0
7634,85.0,85.0
1833,82.0,82.0
6680,95.0,95.0
6497,97.0,97.0
4658,92.0,92.0
42,96.0,96.0
6527,98.0,98.0
4587,80.0,80.0
7638,92.0,92.0
7581,92.0,92.0
6314,91.0,91.0
6681,76.0,76.0
1103,97.0,97.0
5066,96.0,96.0
5401,87.0,87.0
3408,87.0,87.0
6292,86.0,86.0
3879,86.0,86.0
5663,86.0,86.0
454,93.0,93.0
2884,86.0,86.0
5005,71.0,71.0
1817,80.0,79.0
2569,88.0,88.0
6625,93.0,93.0
1675,94.0,94.0
6931,88.0,88.0
3260,80.0,79.0
6799,74.0,74.0
229,81.0,81.0
6385,95.0,95.0
7671,83.0,83.0
5492,95.0,95.0
4946,93.0,93.0
224,81.0,81.0
5040,94.0,94.0
779,80.0,80.0
982,78.0,78.0
5650,98.0,98.0
3759,99.0,99.0
7040,88.0,88.0
1654,40.0,33.0
1955,76.0,76.0
4463,86.0,86.0
3814,84.0,84.0
2436,92.0,92.0
1035,92.0,92.0
1531,89.0,89.0
725,90.0,90.0
4120,99.0,99.0
3457,90.0,90.0
4902,91.0,91.0
7339,84.0,85.0
1091,95.0,95.0
7435,65.0,65.0
2539,77.0,77.0
5132,99.0,99.0
4763,94.0,94.0
1066,96.0,97.0
7682,84.0,84.0
1893,84.0,84.0
2124,99.0,99.0
6579,65.0,65.0
2178,80.0,80.0
5299,94.0,94.0
3902,85.0,85.0
7190,95.0,95.0
2212,86.0,86.0
6936,87.0,87.0
4991,91.0,91.0
1843,77.0,78.0
2795,100.0,100.0
4083,89.0,89.0
642,80.0,80.0
3025,61.0,60.0
7748,91.0,91.0
7471,53.0,53.0
4193,92.0,92.0
38,91.0,91.0
5679,82.0,82.0
543,64.0,64.0
49,87.0,87.0
3434,88.0,88.0
2565,80.0,80.0
6210,97.0,97.0
217,87.0,87.0
1277,87.0,87.0
1891,66.0,66.0
3303,85.0,85.0
3007,48.0,49.0
3538,85.0,85.0
5332,66.0,66.0
7460,69.0,68.0
1461,85.0,85.0
273,61.0,60.0
3719,16.0,17.0
7344,89.0,89.0
4324,96.0,95.0
842,92.0,92.0
5810,72.0,73.0
5680,87.0,87.0
916,75.0,75.0
5556,90.0,90.0
7738,86.0,86.0
3581,76.0,76.0
5809,75.0,75.0
5633,99.0,99.0
938,94.0,94.0
6109,82.0,82.0
6545,75.0,76.0
2456,91.0,91.0
5166,100.0,100.0
6860,91.0,91.0
4797,95.0,95.0
6905,88.0,88.0
5739,79.0,79.0
1282,89.0,89.0
7300,89.0,89.0
532,89.0,89.0
3266,79.0,79.0
7306,89.0,89.0
7859,73.0,73.0
7008,94.0,94.0
144,79.0,79.0
7661,91.0,91.0
7535,59.0,59.0
3926,77.0,77.0
5303,68.0,68.0
3855,88.0,88.0
32,75.0,75.0
737,55.0,55.0
1261,92.0,92.0
1835,65.0,65.0
1702,48.0,47.0
158,82.0,82.0
7155,86.0,85.0
6816,85.0,85.0
5994,90.0,91.0
311,66.0,66.0
3166,100.0,100.0
6655,79.0,79.0
6215,97.0,97.0
5830,61.0,61.0
147,69.0,69.0
3357,96.0,96.0
1087,97.0,97.0
1142,95.0,95.0
2055,88.0,88.0
1003,93.0,93.0
1216,80.0,80.0
5702,78.0,78.0
7643,94.0,94.0
1766,94.0,94.0
6027,95.0,95.0
7038,72.0,73.0
2476,84.0,84.0
1380,84.0,84.0
4055,90.0,90.0
1869,79.0,79.0
6171,86.0,86.0
987,88.0,88.0
4367,76.0,76.0
7384,58.0,59.0
7372,88.0,88.0
1070,98.0,98.0
5834,63.0,63.0
4752,91.0,91.0
7068,84.0,84.0
1775,100.0,100.0
6298,83.0,83.0
3240,82.0,82.0
176,77.0,77.0
6859,85.0,85.0
4619,77.0,77.0
4986,91.0,91.0
90,43.0,43.0
1837,82.0,82.0
7861,85.0,85.0
296,65.0,65.0
347,84.0,84.0
2669,100.0,100.0
3341,84.0,84.0
2553,86.0,86.0
2076,93.0,93.0
409,85.0,85.0
7760,90.0,90.0
5328,82.0,82.0
5300,98.0,98.0
4781,91.0,91.0
1657,65.0,65.0
684,89.0,89.0
3705,72.0,72.0
2420,86.0,86.0
7845,70.0,70.0
5196,67.0,67.0
7631,93.0,93.0
29,89.0,89.0
7276,70.0,70.0
5333,86.0,86.0
2063,88.0,88.0
7662,94.0,94.0
3944,96.0,96.0
1168,93.0,93.0
7740,82.0,82.0
4230,94.0,94.0
4732,91.0,91.0
7822,72.0,72.0
3993,94.0,94.0
5797,77.0,78.0
6371,68.0,68.0
733,86.0,86.0
1156,88.0,88.0
5447,88.0,88.0
4838,84.0,84.0
5782,87.0,87.0
202,79.0,79.0
3326,95.0,95.0
4521,84.0,84.0
2179,78.0,78.0
7157,95.0,95.0
5097,93.0,93.0
3910,83.0,83.0
834,92.0,92.0
2913,97.0,97.0
4273,85.0,85.0
692,88.0,88.0
6674,92.0,92.0
3182,99.0,99.0
3724,8.0,16.0
210,72.0,73.0
3909,77.0,77.0
7406,74.0,73.0
2717,99.0,99.0
3368,87.0,87.0
5001,88.0,88.0
3601,83.0,83.0
2453,90.0,90.0
3338,87.0,87.0
6090,88.0,88.0
2635,98.0,98.0
3042,74.0,74.0
3631,86.0,86.0
3032,80.0,80.0
4029,81.0,81.0
119,91.0,91.0
3429,93.0,93.0
2232,74.0,74.0
5665,82.0,82.0
2190,77.0,77.0
7636,91.0,91.0
1246,74.0,74.0
6412,96.0,96.0
4807,93.0,93.0
2134,94.0,94.0
7757,95.0,95.0
3212,73.0,73.0
4809,88.0,88.0
4836,84.0,84.0
519,83.0,84.0
4389,83.0,83.0
1916,82.0,82.0
1555,96.0,95.0
7459,59.0,59.0
641,89.0,89.0
317,63.0,63.0
6335,96.0,96.0
7281,74.0,74.0
7843,68.0,67.0
5058,95.0,95.0
1946,78.0,78.0
4574,71.0,71.0
2294,97.0,97.0
2824,99.0,99.0
6902,82.0,82.0
4428,72.0,72.0
3553,96.0,96.0
6331,82.0,82.0
958,86.0,86.0
2550,91.0,91.0
2587,91.0,91.0
2182,75.0,75.0
5518,88.0,88.0
693,89.0,89.0
1563,94.0,94.0
1422,95.0,95.0
5167,99.0,99.0
1533,94.0,94.0
214,79.0,79.0
7746,84.0,84.0
4769,91.0,91.0
5331,93.0,93.0
6100,79.0,79.0
7664,95.0,95.0
3172,100.0,100.0
5414,86.0,86.0
949,74.0,74.0
895,76.0,76.0
1845,67.0,67.0
7791,91.0,91.0
4869,69.0,69.0
1139,98.0,98.0
3638,40.0,39.0
526,94.0,94.0
5421,82.0,82.0
6831,79.0,79.0
3296,97.0,97.0
5623,100.0,100.0
3597,71.0,71.0
5233,83.0,82.0
5267,75.0,75.0
1855,87.0,87.0
3160,100.0,100.0
6605,96.0,96.0
613,66.0,66.0
313,59.0,59.0
6467,72.0,73.0
467,62.0,61.0
3171,100.0,100.0
4397,98.0,98.0
4162,91.0,91.0
5700,74.0,74.0
7139,90.0,90.0
7745,83.0,83.0
7750,89.0,89.0
6766,82.0,82.0
5155,100.0,100.0
1455,90.0,90.0
5961,98.0,98.0
4175,85.0,85.0
1570,92.0,92.0
794,63.0,63.0
3482,89.0,89.0
294,66.0,66.0
6334,83.0,83.0
7532,86.0,86.0
2101,97.0,97.0
6378,93.0,93.0
994,93.0,93.0
2250,89.0,89.0
4225,81.0,81.0
4237,80.0,81.0
456,96.0,96.0
1448,84.0,84.0
3977,92.0,92.0
4612,95.0,95.0
5574,95.0,95.0
7172,97.0,97.0
527,86.0,86.0
3055,46.0,46.0
2551,85.0,85.0
6403,96.0,96.0
7701,93.0,93.0
4701,79.0,79.0
6908,91.0,91.0
2734,94.0,94.0
6251,94.0,94.0
5648,100.0,100.0
4303,85.0,84.0
51,63.0,63.0
4898,90.0,90.0
2664,99.0,99.0
5075,95.0,95.0
7274,74.0,74.0
3490,86.0,86.0
6885,81.0,82.0
4183,95.0,95.0
4831,86.0,86.0
3990,95.0,95.0
4848,96.0,96.0
2584,87.0,87.0
3060,80.0,80.0
5504,92.0,92.0
479,89.0,89.0
3618,48.0,47.0
2070,89.0,89.0
7756,95.0,95.0
3378,89.0,89.0
771,53.0,54.0
2137,95.0,95.0
6662,89.0,89.0
6508,99.0,99.0
65,83.0,83.0
5399,89.0,89.0
2823,98.0,98.0
6271,91.0,91.0
5051,99.0,99.0
7544,85.0,85.0
5341,89.0,89.0
4964,90.0,90.0
5706,69.0,69.0
6196,85.0,85.0
4399,98.0,97.0
2812,99.0,99.0
