,predict,target
1433,88.0,89.0
2087,95.0,95.0
1122,94.0,94.0
1352,83.0,79.0
2465,90.0,90.0
5780,80.0,81.0
4857,81.0,82.0
3440,93.0,92.0
3487,93.0,93.0
295,70.0,71.0
2385,87.0,88.0
1595,72.0,73.0
1705,91.0,90.0
3311,86.0,86.0
4465,95.0,95.0
4418,96.0,97.0
7362,95.0,95.0
7065,82.0,80.0
6595,97.0,97.0
2877,86.0,86.0
7484,69.0,68.0
6032,92.0,92.0
2265,95.0,95.0
4106,98.0,98.0
980,93.0,93.0
2615,96.0,96.0
3414,88.0,89.0
499,62.0,59.0
7323,83.0,83.0
6584,78.0,76.0
3515,91.0,90.0
7328,92.0,91.0
6329,86.0,86.0
2407,86.0,86.0
5682,82.0,81.0
6757,74.0,74.0
528,91.0,91.0
5866,94.0,94.0
6887,95.0,95.0
4024,90.0,88.0
326,94.0,95.0
3617,78.0,80.0
6526,96.0,97.0
5468,80.0,80.0
5426,90.0,90.0
1255,89.0,89.0
5777,78.0,80.0
2401,86.0,86.0
5010,90.0,91.0
6643,80.0,79.0
7266,72.0,72.0
1977,98.0,98.0
1363,83.0,80.0
6192,96.0,97.0
5525,93.0,93.0
5056,87.0,87.0
3305,88.0,88.0
4164,87.0,84.0
5559,95.0,95.0
3304,96.0,96.0
1060,85.0,87.0
3614,74.0,77.0
521,76.0,76.0
7808,89.0,89.0
1270,92.0,92.0
4328,98.0,97.0
3981,97.0,97.0
5776,85.0,82.0
2033,84.0,85.0
5844,95.0,95.0
2653,97.0,96.0
6125,86.0,85.0
5872,95.0,95.0
1529,65.0,69.0
98,80.0,78.0
4140,86.0,87.0
6836,80.0,81.0
3498,90.0,92.0
154,75.0,72.0
1870,88.0,88.0
722,87.0,88.0
226,82.0,82.0
2990,96.0,96.0
2943,88.0,88.0
3840,90.0,89.0
4827,81.0,81.0
3651,79.0,80.0
5516,96.0,95.0
2784,88.0,88.0
3411,75.0,77.0
140,81.0,80.0
2149,98.0,98.0
7634,84.0,85.0
1833,81.0,82.0
6680,95.0,95.0
6497,97.0,97.0
4658,93.0,92.0
42,96.0,96.0
6527,98.0,98.0
4587,80.0,80.0
7638,92.0,92.0
7581,92.0,92.0
6314,90.0,91.0
6681,78.0,76.0
1103,97.0,97.0
5066,95.0,96.0
5401,86.0,87.0
3408,86.0,87.0
6292,86.0,86.0
3879,88.0,86.0
5663,86.0,86.0
454,94.0,93.0
2884,86.0,86.0
5005,59.0,71.0
1817,81.0,79.0
2569,88.0,88.0
6625,92.0,93.0
1675,93.0,94.0
6931,88.0,88.0
3260,78.0,79.0
6799,75.0,74.0
229,80.0,81.0
6385,95.0,95.0
7671,80.0,83.0
5492,94.0,95.0
4946,92.0,93.0
224,84.0,81.0
5040,94.0,94.0
779,81.0,80.0
982,78.0,78.0
5650,99.0,98.0
3759,99.0,99.0
7040,86.0,88.0
1654,40.0,33.0
1955,76.0,76.0
4463,87.0,86.0
3814,86.0,84.0
2436,91.0,92.0
1035,92.0,92.0
1531,90.0,89.0
725,90.0,90.0
4120,99.0,99.0
3457,90.0,90.0
4902,90.0,91.0
7339,86.0,85.0
1091,96.0,95.0
7435,65.0,65.0
2539,79.0,77.0
5132,99.0,99.0
4763,94.0,94.0
1066,96.0,97.0
7682,83.0,84.0
1893,83.0,84.0
2124,99.0,99.0
6579,65.0,65.0
2178,82.0,80.0
5299,93.0,94.0
3902,85.0,85.0
7190,94.0,95.0
2212,86.0,86.0
6936,88.0,87.0
4991,91.0,91.0
1843,76.0,78.0
2795,100.0,100.0
4083,89.0,89.0
642,80.0,80.0
3025,61.0,60.0
7748,92.0,91.0
7471,53.0,53.0
4193,91.0,92.0
38,90.0,91.0
5679,81.0,82.0
543,67.0,64.0
49,87.0,87.0
3434,88.0,88.0
2565,78.0,80.0
6210,97.0,97.0
217,86.0,87.0
1277,87.0,87.0
1891,68.0,66.0
3303,86.0,85.0
3007,56.0,49.0
3538,86.0,85.0
5332,65.0,66.0
7460,72.0,68.0
1461,85.0,85.0
273,59.0,60.0
3719,16.0,17.0
7344,89.0,89.0
4324,96.0,95.0
842,91.0,92.0
5810,72.0,73.0
5680,83.0,87.0
916,75.0,75.0
5556,90.0,90.0
7738,87.0,86.0
3581,79.0,76.0
5809,75.0,75.0
5633,99.0,99.0
938,95.0,94.0
6109,83.0,82.0
6545,72.0,76.0
2456,91.0,91.0
5166,100.0,100.0
6860,90.0,91.0
4797,95.0,95.0
6905,89.0,88.0
5739,81.0,79.0
1282,90.0,89.0
7300,89.0,89.0
532,88.0,89.0
3266,81.0,79.0
7306,88.0,89.0
7859,81.0,73.0
7008,95.0,94.0
144,81.0,79.0
7661,90.0,91.0
7535,72.0,59.0
3926,77.0,77.0
5303,71.0,68.0
3855,87.0,88.0
32,77.0,75.0
737,60.0,55.0
1261,92.0,92.0
1835,62.0,65.0
1702,46.0,47.0
158,82.0,82.0
7155,83.0,85.0
6816,83.0,85.0
5994,90.0,91.0
311,65.0,66.0
3166,100.0,100.0
6655,80.0,79.0
6215,98.0,97.0
5830,63.0,61.0
147,68.0,69.0
3357,95.0,96.0
1087,97.0,97.0
1142,95.0,95.0
2055,87.0,88.0
1003,92.0,93.0
1216,80.0,80.0
5702,78.0,78.0
