overspeed,accel,decel,stop,start,cluster,score
80,587,146,0,293,16,82
26,859,0,0,286,73,72
182,682,0,0,487,34,68
41,1677,98,0,394,63,53
84,1149,191,0,862,33,38
289,333,83,0,208,98,79
401,762,84,0,254,21,65
41,693,198,0,594,34,68
81,1025,186,93,652,74,56
34,1076,97,0,293,10,70
98,675,192,96,578,34,68
36,1085,295,0,493,74,56
2,1212,259,0,86,40,63
148,1303,81,81,488,74,56
85,1584,198,0,594,48,45
11,1748,388,97,777,76,26
104,847,0,0,565,34,68
97,1280,213,71,213,40,63
108,1010,77,0,621,74,56
49,455,136,0,182,59,92
25,573,63,0,191,16,82
63,996,199,199,697,74,56
58,1190,0,99,495,74,56
30,1250,96,0,384,74,56
43,1121,0,0,480,74,56
50,997,0,0,698,74,56
44,696,99,99,99,58,85
22,598,99,0,798,34,68
252,1097,365,0,438,95,50
425,625,0,39,156,99,78
402,532,114,38,228,99,78
11,1353,90,0,541,48,45
145,884,98,196,294,73,72
18,889,0,0,296,73,72
33,721,80,0,881,34,68
16,653,93,0,466,34,68
107,1080,687,0,490,86,40
146,686,98,0,588,34,68
32,1093,156,156,624,74,56
250,594,219,62,407,66,59
120,39,78,0,39,19,98
3506,115,115,6,81,72,20
3002,115,39,6,46,72,20
41,698,349,174,873,97,41
34,658,0,0,188,16,82
194,772,206,0,412,73,72
109,528,264,0,422,62,77
1786,85,19,4,19,54,54
761,258,60,15,75,4,76
485,297,91,0,228,17,80
308,290,128,32,161,98,79
263,491,137,19,177,84,75
129,1290,151,75,379,74,56
60,392,196,0,392,62,77
39,1898,299,0,99,78,37
688,1403,667,115,529,49,29
445,1663,359,136,657,49,29
244,655,100,100,252,84,75
693,970,323,67,323,21,65
29,795,361,144,361,96,55
100,1358,339,0,226,3,47
806,1152,420,171,467,47,35
1089,551,308,66,176,71,43
283,1896,528,217,528,82,15
235,1345,412,137,824,33,38
705,1533,572,251,675,49,29
278,1947,726,246,781,12,14
229,1824,613,226,839,12,14
329,1615,461,86,519,49,29
58,1611,210,140,700,48,45
429,1666,628,157,660,82,15
441,1771,590,248,621,82,15
661,1343,460,163,527,49,29
116,441,176,58,117,25,87
276,1519,455,60,790,85,33
179,1681,513,114,712,37,30
410,1329,471,128,471,49,29
108,1587,404,217,466,37,30
202,1158,471,42,514,22,48
84,1632,457,159,537,37,30
339,1463,452,133,385,49,29
271,1482,518,135,753,85,33
450,1904,600,144,620,82,15
418,757,225,0,177,21,65
622,1676,365,106,613,49,29
371,2077,701,238,617,82,15
171,1735,1134,200,533,89,22
179,1503,341,205,444,48,45
16,2256,369,73,517,18,25
673,1046,357,123,440,21,65
965,351,263,0,175,32,61
903,1147,396,198,553,47,35
441,1716,519,86,418,49,29
369,1411,371,148,371,49,29
101,1637,358,102,614,48,45
501,1529,456,137,570,49,29
572,1727,490,163,445,49,29
610,1999,598,188,645,82,15
452,1495,524,100,658,49,29
375,1518,412,165,627,49,29
65,1917,438,164,438,78,37
288,1852,621,182,743,82,15
93,1706,286,114,675,48,45
419,1385,359,116,444,49,29
19,317,0,0,79,43,96
590,1778,547,136,658,82,15
157,1577,112,0,732,48,45
182,1201,369,46,92,95,50
330,1515,381,92,555,49,29
24,153,153,0,102,35,97
978,346,185,30,107,32,61
569,1797,786,199,748,82,15
100,1355,602,301,527,85,33
518,1462,560,97,642,49,29
2,531,118,0,147,59,92
400,497,248,71,142,99,78
38,1296,762,228,152,44,46
225,1249,408,113,227,95,50
42,471,196,39,196,20,86
