overspeed,accel,decel,stop,start,dsi,score
7.0,0.0,0.0,0.0,0.0,7.0,100.0
12.0,42.0,0.0,0.0,42.0,96.0,99.0
120.0,174.0,174.0,0.0,0.0,468.0,94.0
72.0,0.0,42.0,0.0,42.0,156.0,98.0
0.0,0.0,0.0,0.0,72.0,72.0,99.0
0.0,61.0,0.0,0.0,61.0,122.0,99.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0
5.0,0.0,48.0,0.0,0.0,53.0,99.0
0.0,35.0,0.0,0.0,35.0,70.0,99.0
0.0,55.0,0.0,0.0,55.0,110.0,99.0
3.0,14.0,14.0,14.0,0.0,45.0,99.0
9.0,93.0,0.0,0.0,0.0,102.0,99.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0
3.0,51.0,38.0,0.0,38.0,130.0,98.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0
4.0,46.0,15.0,0.0,0.0,65.0,99.0
9.0,0.0,0.0,0.0,0.0,9.0,100.0
0.0,18.0,9.0,0.0,9.0,36.0,100.0
33.0,0.0,0.0,40.0,0.0,73.0,99.0
30.0,0.0,0.0,0.0,0.0,30.0,100.0
3.0,178.0,0.0,0.0,0.0,181.0,98.0
0.0,75.0,0.0,0.0,0.0,75.0,99.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0
10.0,23.0,12.0,0.0,12.0,57.0,99.0
4.0,29.0,29.0,0.0,0.0,62.0,99.0
5.0,195.0,49.0,49.0,0.0,298.0,96.0
3.0,0.0,29.0,0.0,0.0,32.0,100.0
2.0,42.0,14.0,0.0,0.0,58.0,99.0
0.0,127.0,36.0,0.0,0.0,163.0,98.0
1.0,108.0,0.0,0.0,0.0,109.0,99.0
0.0,53.0,0.0,0.0,13.0,66.0,99.0
8.0,0.0,0.0,0.0,0.0,8.0,100.0
1.0,135.0,0.0,0.0,0.0,136.0,98.0
2.0,95.0,38.0,0.0,19.0,154.0,98.0
0.0,50.0,50.0,0.0,50.0,150.0,98.0
17.0,39.0,0.0,0.0,0.0,56.0,99.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0
2.0,0.0,16.0,0.0,0.0,18.0,100.0
2.0,0.0,0.0,0.0,76.0,78.0,99.0
7.0,0.0,0.0,0.0,0.0,7.0,100.0
0.0,0.0,40.0,0.0,0.0,40.0,100.0
9.0,51.0,0.0,0.0,0.0,60.0,99.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0
11.0,24.0,0.0,0.0,0.0,35.0,100.0
